"","Taxon_ID","Scientific_Name","Scientific_Name_Alt","Genus","Common_Name","Taxa_Group","Conservation_Listing","FFG_Status","Mass_g","home_range_km2","dispersal_km","stratum","stratum_aerial","stratum_arboreal_insessorial","stratum_aquatic","stratum_cryptic","stratum_fossorial","stratum_generalist","stratum_saxicolous","stratum_terrestrial","nesting","nest_burrow","nest_cave","nest_ground","nest_hollows","nest_branch","volant","hibernation_torpor","diet","diet_breadth_n","diet_carnivore","diet_herbivore","diet_invertivore","diet_infloresence","diet_omnivore","diet_granivore","litter_size_n","litters_per_year_n","max_longevity_d","n_offspring_year","biggest_patch_size","n_habitat_patches","patch_isolation","dominant_pyrome","pyrome_breadth","meanben_firefreq","future_fire_impact","fame_lm_slope","smp_cluster","fame_cluster"
"1",10614,"Lichenostomus chrysops","Caligavis chrysops","Lichenostomus","Yellow-faced Honeyeater","Birds","NotListed","NotListed",17.3,NA,NA,"Insessorial","0","1","0","0","0",0,"0","0","Branch","0","0","0","0","1","1","0","Omnivore",NA,"1","1","0","1","1","0",2.375,2,4684.16666545,9,7362677.25,16,752.425186176949,"4",7,1.33333333333333,3,-0.000148265039801742,"1","1"
"2",10625,"Lichenostomus penicillatus","Ptilotula penicillata","Lichenostomus","White-plumed Honeyeater","Birds","NotListed","NotListed",19.4,NA,NA,"Insessorial","0","1","0","0","0",0,"0","0","Branch","0","0","0","0","1","1","0","Omnivore",NA,"1","1","0","1","1","0",2.355,2,3923.75,5,11145124.125,8,718.800110722864,"1",8,0.5,NA,0.000173612509709308,"18","2"
"3",10617,"Lichenostomus leucotis","Nesoptilotis leucotis","Lichenostomus","White-eared Honeyeater","Birds","NotListed","NotListed",23.9,NA,NA,"Insessorial","0","1","0","0","0",0,"0","0","Branch","0","0","0","0","1","1","0","Invertivore",NA,"1","1","1","1","0","0",2.045,2,2281.25,6,8633217.9375,13,775.864203915541,"1",8,1,NA,-6.52607206919901e-05,"3","3"
"4",10619,"Lichenostomus melanops","Lichenostomus melanops","Lichenostomus","Yellow-tufted Honeyeater","Birds","NotListed","NotListed",32.3,NA,NA,"Insessorial","0","1","0","0","0",0,"0","0","Branch","0","0","0","0","1","1","0","Omnivore",NA,"1","1","0","1","1","0",2,2,4045.41666545,2,2691508.5,13,758.937970746786,"1",8,1.5,NA,0.00033873512122902,"4","4"
"5",10608,"Lichenostomus virescens","Gavicalis virescens","Lichenostomus","Singing Honeyeater","Birds","NotListed","NotListed",23.3,NA,NA,"Insessorial","0","1","0","0","0",0,"0","0","Branch","0","0","0","0","1","1","0","Invertivore",NA,"1","1","1","1","0","0",2.145,1,1977.083333455,1,3056874.1875,17,712.036368898219,"1",8,1,NA,0.000341052530365632,"5","4"
"6",10622,"Lichenostomus ornatus","Ptilotula ornata","Lichenostomus","Yellow-plumed Honeyeater","Birds","NotListed","NotListed",17.6,NA,NA,"Insessorial","0","1","0","0","0",0,"0","0","Branch","0","0","0","0","1","1","0","Omnivore",NA,"1","1","0","1","1","0",2.045,2,2950.416666545,10.2,2255844.9375,12,760.389951252056,"1",8,0.833333333333333,-2.16666666666667,8.76846093720884e-05,"4","4"
"7",10613,"Lichenostomus fuscus","Ptilotula fusca","Lichenostomus","Fuscous Honeyeater","Birds","NotListed","NotListed",17.7,NA,NA,"Insessorial","0","1","0","0","0",0,"0","0","Branch","0","0","0","0","1","1","0","Invertivore",NA,"1","1","1","1","0","0",2.05,2.5,4836.25,7.875,2766413.25,11,840.16498832876,"1",8,0,NA,2.81374950939825e-05,"4","4"
"8",10620,"Lichenostomus cratitius","Lichenostomus cratitius","Lichenostomus","Purple-gaped Honeyeater","Birds","Victoria","Vulnerable",20.3,NA,NA,"Insessorial","0","1","0","0","0",0,"0","0","Branch","0","0","0","0","1","1","0","Omnivore",NA,"1","1","0","1","1","0",2,2.5,3923.75,9.625,1488602.8125,6,716.975914740455,"14",6,1.4,NA,2.05112219451377e-05,"6","5"
"9",10486,"Acanthiza chrysorrhoa","Acanthiza chrysorrhoa","Acanthiza","Yellow-rumped Thornbill","Birds","NotListed","NotListed",9.3,NA,NA,"Terrestrial","0","0","0","0","0",0,"0","1","Branch","0","0","0","0","1","1","0","Invertivore",NA,"1","1","1","1","0","0",3.5,2.5,2615.833333455,4,15330581.4375,4,646.591661873533,"1",8,2,NA,0.000368085755759852,"7","6"
"10",10475,"Acanthiza pusilla","Acanthiza pusilla","Acanthiza","Brown Thornbill","Birds","NotListed","NotListed",7.6,NA,NA,"Insessorial","0","1","0","0","0",0,"0","0","Branch","0","0","0","0","1","1","0","Invertivore",NA,"1","1","1","1","0","0",2.7,2,4015,1.825,9528227.4375,13,766.414238685787,"1",8,0.5,NA,0.00028226242706951,"3","3"
"11",10470,"Acanthiza lineata","Acanthiza lineata","Acanthiza","Striated Thornbill","Birds","NotListed","NotListed",6.9,NA,NA,"Insessorial","0","1","0","0","0",0,"0","0","Branch","0","0","0","0","1","1","0","Invertivore",NA,"1","1","1","1","0","0",3,2.5,2737.5,5,6813806.0625,16,753.461290305057,"4",8,1,NA,0.000172616473547196,"1","1"
"12",10484,"Acanthiza reguloides","Acanthiza reguloides","Acanthiza","Buff-rumped Thornbill","Birds","NotListed","NotListed",7.7,NA,NA,"Insessorial","0","1","0","0","0",0,"0","0","Branch","0","0","0","0","1","1","0","Invertivore",NA,"1","1","1","1","0","0",3.7,2,4015,2,7848758.25,11,707.647833704876,"1",8,3,NA,-0.000217612932525883,"8","3"
"13",10471,"Acanthiza nana","Acanthiza nana","Acanthiza","Yellow Thornbill","Birds","NotListed","NotListed",6.2,NA,NA,"Insessorial","0","1","0","0","0",0,"0","0","Branch","0","0","0","0","1","1","0","Invertivore",NA,"1","1","1","1","0","0",3,2,3467.5,5,9146428.875,7,730.782258772282,"1",8,1,NA,-0.00020328710885138,"3","3"
