"","Taxon_ID","Scientific_Name","Scientific_Name_Alt","Genus","Common_Name","Taxa_Group","Conservation_Listing","FFG_Status","Mass_g","home_range_km2","dispersal_km","stratum","stratum_aerial","stratum_arboreal_insessorial","stratum_aquatic","stratum_cryptic","stratum_fossorial","stratum_generalist","stratum_saxicolous","stratum_terrestrial","nesting","nest_burrow","nest_cave","nest_ground","nest_hollows","nest_branch","volant","hibernation_torpor","diet","diet_breadth_n","diet_carnivore","diet_herbivore","diet_invertivore","diet_infloresence","diet_omnivore","diet_granivore","litter_size_n","litters_per_year_n","max_longevity_d","n_offspring_year","biggest_patch_size","n_habitat_patches","patch_isolation","dominant_pyrome","pyrome_breadth","meanben_firefreq","future_fire_impact","fame_lm_slope","cluster"
"1",13166,"Litoria aurea","Litoria aurea","Litoria","Green and Golden Bell Frog","Amphibians","NotListed","NotListed",50,NA,NA,NA,"0","0","0","0","0",0,"0","0",NA,"0","0","1","0","0","0",NA,NA,NA,"1","1","1","0","0","0",5000,1,3650,5000,481808.25,3,1008.48464452379,"4",3,0.8,NA,NA,1
"2",13204,"Litoria peronii","Litoria peronii","Litoria","Peron's Tree Frog","Amphibians","NotListed","NotListed",5.88,NA,NA,NA,"0","1","1","0","0",0,"0","1",NA,"0","0","1","0","0","0",NA,NA,NA,"0","1","1","0","0","0",2390,1,NA,2390,7196212.125,7,741.360782126563,"1",7,0.4,NA,NA,2
"3",13182,"Litoria ewingii","Litoria ewingii","Litoria","Southern Brown Tree Frog","Amphibians","NotListed","NotListed",1.69,NA,NA,NA,"0","0","1","0","0",0,"0","1",NA,"0","0","1","0","0","0",NA,NA,NA,"0","1","1","0","0","0",700,1,NA,700,4579324.875,13,698.233929043759,"1",5,0.125,NA,NA,2
"4",63906,"Litoria verreauxii verreauxii","Litoria verreauxii","Litoria","Verreaux's Tree Frog","Amphibians","NotListed","NotListed",1.74,NA,NA,NA,"0","0","1","0","0",0,"0","1",NA,"0","0","1","0","0","0",NA,NA,NA,"0","1","1","0","0","0",1000,1,NA,1000,4667250.375,9,740.51775142742,"1",4,0.5,NA,NA,2
"5",13192,"Litoria lesueuri","Litoria lesueurii","Litoria","Lesueur's Frog","Amphibians","NotListed","NotListed",24,NA,NA,NA,"0","0","1","0","0",0,"0","1",NA,"0","0","1","0","0","0",NA,NA,NA,"0","1","1","0","0","0",1600,1,1825,1600,2719873.6875,8,597.382530632566,"4",4,1,NA,NA,3
"6",13203,"Litoria paraewingi","Litoria paraewingi","Litoria","Plains Brown Tree Frog","Amphibians","NotListed","NotListed",1.2,NA,NA,NA,"0","0","1","0","0",0,"0","1",NA,"0","0","1","0","0","0",NA,NA,NA,"0","1","1","0","0","0",550,1,NA,550,3511395.5625,1,642.007804773936,"4",4,0.5,NA,NA,3
"7",13175,"Litoria citropa","Litoria citropa","Litoria","Blue Mountains Tree Frog","Amphibians","NotListed","NotListed",8.62,NA,NA,NA,"0","0","1","0","0",0,"1","1",NA,"0","0","1","0","0","0",NA,NA,NA,"0","1","1","0","0","0",1900,1,NA,1900,805985.4375,3,732.457425129349,"4",3,NA,NA,NA,NA
"8",13058,"Limnodynastes dumerilii","Limnodynastes dumerilii","Limnodynastes","Southern Bullfrog (ssp. unknown)","Amphibians","NotListed","NotListed",15.31,NA,NA,NA,"0","0","0","0","1",0,"0","1",NA,"1","0","1","0","0","0",NA,NA,NA,"0","1","1","0","0","0",3900,1,NA,3900,10793422.125,7,718.496719386187,"1",8,0.2,0.666666666666667,NA,4
"9",13063,"Limnodynastes tasmaniensis","Limnodynastes tasmaniensis","Limnodynastes","Spotted Marsh Frog (race unknown)","Amphibians","NotListed","NotListed",3.37,NA,NA,NA,"0","0","1","0","1",0,"1","1",NA,"0","0","1","0","0","0",NA,NA,NA,"0","1","1","0","0","0",1500,1,NA,1500,10381542.1875,8,778.713252401205,"1",8,0.25,NA,NA,2
"10",13061,"Limnodynastes peronii","Limnodynastes peronii","Limnodynastes","Striped Marsh Frog","Amphibians","NotListed","NotListed",12.17,NA,NA,NA,"0","0","1","0","0",0,"0","1",NA,"0","0","1","0","0","0",NA,NA,NA,"0","1","1","0","0","0",1300,1,NA,1300,9394233.1875,7,725.954152932433,"1",5,0.166666666666667,NA,NA,2
