"","filename","biggest_patch_size","n_patches","nned"
"1","SMP4_Agile_Antechinus_Antechinus_agilis_Spp11028_RF_225m_vg94",3712761.5625,17,765.412577934068
"2","SMP4_Alpine_Bog_Skink_Pseudemoia_cryodroma_Spp12992_RF_225m_vg94",30192.75,3,2084.9971925412
"3","SMP4_Alpine_She-oak_Skink_Cyclodomorphus_praealtus_Spp12987_RF_225m_vg94",21444.75,1,1188.71021971664
"4","SMP4_Alpine_Tree_Frog_Litoria_verreauxii_alpina_Spp63907_RF_225m_vg94",70389,2,1551.09754390834
"5","SMP4_Alpine_Water_Skink_Eulamprus_kosciuskoi_Spp12550_RF_225m_vg94",22755.9375,1,1021.53958050002
"6","SMP4_Apostlebird_Struthidea_cinerea_Spp10675_RF_225m_vg94",2729760.75,5,772.596357183459
"7","SMP4_Australasian_Bittern_Botaurus_poiciloptilus_Spp10197_RF_225m_vg94",138773.25,13,993.343337408802
"8","SMP4_Australasian_Grebe_Tachybaptus_novaehollandiae_Spp10061_RF_225m_vg94",404250.75,8,1303.08669324643
"9","SMP4_Australasian_Pipit_Anthus_novaeseelandiae_Spp10647_RF_225m_vg94",15810131.8125,8,649.335820488527
"10","SMP4_Australasian_Shoveler_Anas_rhynchotis_Spp10212_RF_225m_vg94",637419.375,17,858.395975731356
"11","SMP4_Australian_Bustard_Ardeotis_australis_Spp10176_RF_225m_vg94",652014.5625,6,867.071554665458
"12","SMP4_Australian_Grayling_Prototroctes_maraena_Spp4686_RF_225m_vg94",563279.0625,19,718.043604195848
"13","SMP4_Australian_Hobby_Falco_longipennis_Spp10235_RF_225m_vg94",17115973.3125,8,639.150617146268
"14","SMP4_Australian_King-Parrot_Alisterus_scapularis_Spp10281_RF_225m_vg94",5226535.125,10,722.085129989925
"15","SMP4_Australian_Magpie_Cracticus_tibicen_Spp10705_RF_225m_vg94",14875877.8125,4,704.01214174355
"16","SMP4_Australian_Mudfish_Neochanna_cleaveri_Spp4703_RF_225m_vg94",2981.8125,0,962.837538236614
"17","SMP4_Australian_Owlet-nightjar_Aegotheles_cristatus_Spp10317_RF_225m_vg94",11265095.25,6,697.47649486141
"18","SMP4_Australian_Painted_Snipe_Rostratula_australis_Spp10170_RF_225m_vg94",856311.75,10,775.980307081469
"19","SMP4_Australian_Pelican_Pelecanus_conspicillatus_Spp10106_RF_225m_vg94",2383764.1875,15,756.711155469761
"20","SMP4_Australian_Pratincole_Stiltia_isabella_Spp10173_RF_225m_vg94",1170105.75,9,743.654119105184
