"","dominant_pyrome","pyrome_breadth","TAXON_ID","dominant_pyrome_name"
"1",4,4,"11028","Wet Temperate Forest"
"2",4,2,"12992","Wet Temperate Forest"
"3",4,1,"12987","Wet Temperate Forest"
"4",4,1,"63907","Wet Temperate Forest"
"5",4,1,"12550","Wet Temperate Forest"
"6",14,6,"10675","Dry Cropping Zone"
"7",1,7,"10197","Dry Temperate Forest"
"8",1,7,"10061","Dry Temperate Forest"
"9",1,8,"10647","Dry Temperate Forest"
"10",1,8,"10212","Dry Temperate Forest"
"11",1,6,"10176","Dry Temperate Forest"
"12",1,4,"4686","Dry Temperate Forest"
"13",1,8,"10235","Dry Temperate Forest"
"14",4,5,"10281","Wet Temperate Forest"
"15",1,8,"10705","Dry Temperate Forest"
"16",1,2,"4703","Dry Temperate Forest"
"17",1,8,"10317","Dry Temperate Forest"
"18",3,5,"10170","Temperate Cropping Zone"
"19",3,8,"10106","Temperate Cropping Zone"
"20",14,7,"10173","Dry Cropping Zone"
"21",1,8,"10930","Dry Temperate Forest"
"22",3,8,"10207","Temperate Cropping Zone"
"23",3,8,"10049","Temperate Cropping Zone"
"24",1,8,"10179","Dry Temperate Forest"
"25",1,8,"10202","Dry Temperate Forest"
"26",1,5,"10319","Dry Temperate Forest"
"27",3,8,"10050","Temperate Cropping Zone"
"28",3,8,"10135","Temperate Cropping Zone"
"29",14,7,"10147","Dry Cropping Zone"
"30",14,7,"12734","Dry Cropping Zone"
"31",3,3,"10032","Temperate Cropping Zone"
"32",1,7,"10153","Dry Temperate Forest"
"33",1,5,"12667","Dry Temperate Forest"
"34",3,7,"10246","Temperate Cropping Zone"
"35",4,3,"4695","Wet Temperate Forest"
"36",4,4,"10779","Wet Temperate Forest"
"37",4,2,"13106","Wet Temperate Forest"
"38",14,5,"12109","Dry Cropping Zone"
"39",14,4,"12137","Dry Cropping Zone"
"40",3,8,"12177","Temperate Cropping Zone"
"41",1,4,"10650","Dry Temperate Forest"
"42",4,7,"10633","Wet Temperate Forest"
"43",4,3,"60196","Wet Temperate Forest"
"44",1,8,"10238","Dry Temperate Forest"
"45",3,8,"10589","Temperate Cropping Zone"
"46",3,8,"10229","Temperate Cropping Zone"
"47",4,5,"62938","Wet Temperate Forest"
"48",1,8,"10203","Dry Temperate Forest"
"49",4,8,"11242","Wet Temperate Forest"
"50",3,6,"10580","Temperate Cropping Zone"
"51",1,8,"10341","Dry Temperate Forest"
"52",14,4,"10967","Dry Cropping Zone"
"53",1,3,"10098","Dry Temperate Forest"
"54",1,8,"10424","Dry Temperate Forest"
"55",4,4,"10373","Wet Temperate Forest"
"56",3,8,"10546","Temperate Cropping Zone"
"57",1,8,"10144","Dry Temperate Forest"
"58",1,8,"10232","Dry Temperate Forest"
"59",3,8,"10055","Temperate Cropping Zone"
"60",1,5,"12578","Dry Temperate Forest"
"61",14,7,"10297","Dry Cropping Zone"
"62",4,3,"13175","Wet Temperate Forest"
"63",1,7,"10216","Dry Temperate Forest"
"64",3,8,"10641","Temperate Cropping Zone"
"65",1,8,"10306","Dry Temperate Forest"
"66",1,3,"13168","Dry Temperate Forest"
"67",1,8,"12475","Dry Temperate Forest"
"68",3,8,"12526","Temperate Cropping Zone"
"69",3,7,"5133","Temperate Cropping Zone"
"70",4,4,"11438","Wet Temperate Forest"
"71",3,7,"10177","Temperate Cropping Zone"
"72",1,4,"62933","Dry Temperate Forest"
"73",4,2,"10029","Wet Temperate Forest"
"74",1,8,"10239","Dry Temperate Forest"
"75",4,3,"10454","Wet Temperate Forest"
"76",1,8,"10221","Dry Temperate Forest"
"77",1,8,"10010","Dry Temperate Forest"
"78",3,8,"10508","Temperate Cropping Zone"
"79",1,8,"10475","Dry Temperate Forest"
"80",1,5,"13117","Dry Temperate Forest"
"81",1,8,"60555","Dry Temperate Forest"
"82",1,8,"10583","Dry Temperate Forest"
"83",1,8,"10035","Dry Temperate Forest"
"84",4,7,"10339","Wet Temperate Forest"
"85",1,5,"11017","Dry Temperate Forest"
"86",3,4,"11215","Temperate Cropping Zone"
"87",14,8,"10310","Dry Cropping Zone"
"88",1,7,"10046","Dry Temperate Forest"
"89",1,8,"10484","Dry Temperate Forest"
"90",1,7,"12170","Dry Temperate Forest"
"91",4,4,"11395","Wet Temperate Forest"
