"","Taxon_ID","Scientific_Name","Scientific_Name_Alt","Genus","Common_Name","Taxa_Group","Conservation_Listing","FFG_Status","Mass_g","home_range_km2","dispersal_km","stratum","stratum_aerial","stratum_arboreal_insessorial","stratum_aquatic","stratum_cryptic","stratum_fossorial","stratum_generalist","stratum_saxicolous","stratum_terrestrial","nesting","nest_burrow","nest_cave","nest_ground","nest_hollows","nest_supported","volant","hibernation_torpor","diet","diet_animals","diet_plants","diet_simple","diet_breadth_n","diet_carnivore","diet_herbivore","diet_invertivore","diet_infloresence","diet_omnivore","diet_granivore","litter_size_n","litters_per_year_n","max_longevity_d","n_offspring_year","biggest_patch_size","n_habitat_patches","patch_isolation","dominant_pyrome","pyrome_breadth","meanben_firefreq","future_fire_impact","fame_curve_shape","fame_lm_slope","cluster"
"1",12375,"Ctenotus robustus","Ctenotus robustus","Ctenotus","Large Striped Skink","Reptiles","NotListed","NotListed",44.66835922,0.05,0.1,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Omnivore",0,0,"Omnivore",NA,0,0,NA,0,1,0,5,3.5,2920,8.1,3960758.25,12,742.973671440351,"Dry Temperate Forest",8,0.267326912402324,NA,NA,NA,1
"2",12936,"Ctenotus orientalis","Ctenotus orientalis","Ctenotus","Eastern Striped Skink","Reptiles","NotListed","NotListed",11.22018454,0.05,0.1,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",1,0,"Carnivore",NA,1,0,NA,0,0,0,4,1.5,2190,8.1,802254.375,8,856.135639010982,"Dry Temperate Forest",6,1.92073393668955,NA,NA,NA,2
"3",12386,"Ctenotus taeniolatus","Ctenotus taeniolatus","Ctenotus","Copper-tailed Skink","Reptiles","NotListed","NotListed",14.79108388,0.05,0.1,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",1,0,"Carnivore",NA,1,0,NA,0,0,0,3.8,1,2190,3.8,671955.75,11,619.712206266391,"Wet Temperate Forest",3,1.15759338627946,NA,NA,NA,3
"4",12374,"Ctenotus regius","Ctenotus regius","Ctenotus","Regal Striped Skink","Reptiles","NotListed","NotListed",11.74897555,0.05,0.1,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Omnivore",0,0,"Omnivore",NA,0,0,NA,0,1,0,2.75,1.5,1460,7.2,1251672.75,3,689.134600511372,"Dry Cropping Zone",4,1.29583088574617,NA,NA,NA,1
"5",12342,"Ctenotus brachyonyx","Ctenotus brachyonyx","Ctenotus","Murray Striped Skink","Reptiles","NotListed","NotListed",11.7951416366387,0.05,0.1,NA,"0","0","0",0,"1",0,"0","1",NA,NA,0,0,0,0,0,1,NA,0,0,"Omnivore",NA,NA,NA,NA,NA,1,NA,2.15,1,2190,15,1224558,2,677.762431397152,"Dry Cropping Zone",4,1.41556853620831,NA,NA,NA,11
"6",62933,"Ctenotus taeniatus","Ctenotus taeniatus","Ctenotus","Brooks's Striped Skink","Reptiles","NotListed","NotListed",2.290868,0.02,0.05,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,NA,0,0,"Carnivore",NA,NA,NA,NA,NA,1,NA,2,1.5,4380,6.9475,451443.375,7,735.596445098014,"Dry Temperate Forest",4,0.619405185563365,NA,NA,NA,2
"7",12994,"Pseudemoia entrecasteauxii","Pseudemoia entrecasteauxii","Pseudemoia","Southern Grass Skink","Reptiles","NotListed","NotListed",5.370318,0.04,0.05,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",1,0,"Carnivore",NA,1,0,NA,0,0,0,4.05,1,2190,4.05,1784541.375,15,692.747140916345,"Wet Temperate Forest",4,1.13573667362817,NA,NA,NA,3
"8",12541,"Pseudemoia spenceri","Pseudemoia spenceri","Pseudemoia","Spencer's Skink","Reptiles","NotListed","NotListed",5.370318,0.03,0.04,NA,"0","1","0",0,"0",0,"1","0",NA,NA,0,0,0,0,0,1,"Carnivore",1,0,"Carnivore",NA,1,0,NA,0,0,0,1.95,0.375,9125,1.765,3482974.6875,11,710.729196891267,"Wet Temperate Forest",4,NA,NA,NA,NA,4
"9",12948,"Pseudemoia form cryodoma/pagenstecheri","Pseudemoia cryodoma","Pseudemoia","Grass skink FORM (P.pag/cry)","Reptiles","NotListed","NotListed",4.897788,0.04,0.05,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,NA,0,0,"Carnivore",NA,NA,NA,NA,NA,0,NA,2.9,2,1095,5,845710.875,3,818.619089386411,"Dry Temperate Forest",4,NA,NA,NA,NA,2
"10",62956,"Eulamprus tympanum tympanum","Eulamprus tympanum","Eulamprus","Southern Water Skink","Reptiles","NotListed","NotListed",21.3796209,0.02,0.02,NA,"0","1","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",1,0,"Carnivore",NA,1,0,NA,0,0,0,3.28,0.75,5475,2.46,4710980.25,20,760.770389585399,"Wet Temperate Forest",5,0.351395880257118,NA,NA,NA,5
"11",12957,"Eulamprus heatwolei","Eulamprus heatwolei","Eulamprus","Yellow-bellied Water Skink","Reptiles","NotListed","NotListed",22.38721139,0.02,0.02,NA,"0","0","1",0,"0",0,"0","0",NA,NA,0,0,0,0,0,1,"Carnivore",1,0,"Carnivore",NA,1,0,NA,0,0,0,3.55,2.5,730,4.5,3331347.75,4,675.444781327879,"Wet Temperate Forest",5,1.56031176058044,-3.66666666666667,NA,NA,6
"12",12557,"Eulamprus quoyii","Eulamprus quoyii","Eulamprus","Eastern Water Skink","Reptiles","NotListed","NotListed",46.77351413,0.02,0.02,NA,"0","0","1",0,"0",0,"0","0",NA,NA,0,0,0,0,0,1,"Omnivore",0,0,"Omnivore",NA,0,0,NA,0,1,0,5.35,0.375,5475,4.5,83789.4375,1,1030.53175050029,"Arid Chenopod Shrubland Transition",6,-0.016433361821443,NA,NA,NA,6
"13",12580,"Tiliqua scincoides","Tiliqua scincoides","Tiliqua","Common Blue-tongued Lizard","Reptiles","NotListed","NotListed",1621.81,4,1,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Omnivore",0,0,"Omnivore",NA,0,0,NA,0,1,0,11,0.75,10950,8.25,8509414.5,7,709.631908036694,"Dry Temperate Forest",8,-0.136874218301657,NA,NA,NA,7
"14",12578,"Tiliqua nigrolutea","Tiliqua nigrolutea","Tiliqua","Blotched Blue-tongued Lizard","Reptiles","NotListed","NotListed",1445.44,4,1,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Omnivore",0,0,"Omnivore",NA,0,0,NA,0,1,0,7,0.375,6570,2.625,7789091.625,12,678.849568264401,"Dry Temperate Forest",5,0.759078516123539,6,NA,NA,7
"15",62430,"Liopholis whitii GROUP","Liopholis whitii","Liopholis","White's Skink","Reptiles","NotListed","NotListed",31.6227766,0.01,0.05,NA,"0","0","0",0,"0",0,"1","1",NA,NA,0,0,0,0,0,1,"Carnivore",1,0,"Carnivore",NA,1,0,NA,0,0,0,2.9,1,5037,2.9,7744561.875,13,670.475238735162,"Dry Temperate Forest",5,0.973008268143599,NA,NA,NA,8
"16",12583,"Tiliqua rugosa","Tiliqua rugosa","Tiliqua","Stumpy-tailed Lizard","Reptiles","NotListed","NotListed",1230.269,4,1,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Herbivore",0,1,"Herbivore",NA,0,1,NA,1,0,1,2.05,1,12775,2.05,4826977.3125,6,727.276079214997,"Dry Temperate Forest",8,0.723323175778761,2.42241379310345,NA,NA,7
"17",12160,"Delma inornata","Delma inornata","Delma","Olive Legless Lizard","Reptiles","NotListed","NotListed",7.413102413,0.1,0.1,NA,"0","0","0",1,"0",0,"0","0",NA,NA,0,0,0,0,0,1,"Carnivore",1,0,"Carnivore",NA,1,0,NA,0,0,0,2,1.5,1825,3.8,4249578.9375,4,779.11709893813,"Temperate Cropping Zone",7,0.632731147916123,NA,NA,NA,9
"18",12588,"Ramphotyphlops bituberculatus","Anilios bituberculatus","Ramphotyphlops","Peters's Blind Snake","Reptiles","NotListed","NotListed",61.13836396,0.1,0.1,NA,"0","0","0",0,"1",0,"0","0",NA,NA,0,0,0,0,0,1,"Carnivore",1,0,"Carnivore",NA,1,0,NA,0,0,0,5.8,1,4380,19.1,3244379.0625,3,766.057381126905,"Dry Cropping Zone",7,0.863125781698344,0.184210526315789,NA,NA,10
"19",12724,"Parasuta nigriceps","Suta nigriceps","Parasuta","Mitchell's Short-tailed Snake","Reptiles","NotListed","NotListed",70.86646866,0.5,0.5,NA,"0","1","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",1,0,"Carnivore",NA,1,0,NA,0,0,0,4.2,2,4380,6.723,1993622.625,8,806.510440525832,"Dry Cropping Zone",7,0.658509623364921,NA,NA,NA,5
"20",12727,"Parasuta flagellum","Suta flagellum","Parasuta","Little Whip Snake","Reptiles","NotListed","NotListed",36.92177072,0.5,0.5,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,NA,0,0,"Carnivore",NA,NA,NA,NA,NA,1,NA,3.75,1.5,5475,4,3972047.625,4,753.102794056284,"Dry Temperate Forest",5,0.565394770106255,NA,NA,NA,2
"21",12154,"Delma australis","Delma australis","Delma","Southern Legless Lizard","Reptiles","NotListed","NotListed",4.570881896,0.1,0.1,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Omnivore",0,0,"Omnivore",NA,0,0,NA,0,1,0,2,1.5,730,3.75,1740269.8125,2,696.571086058606,"Dry Temperate Forest",6,1.60439519538932,3,NA,NA,1
"22",12586,"Ramphotyphlops bicolor","Anilios bicolor","Ramphotyphlops","West Australian Dark-spined Blind Snake","Reptiles","NotListed","NotListed",47.38704517,0.1,0.1,NA,"0","0","0",0,"1",0,"0","0",NA,NA,0,0,0,0,0,1,"Carnivore",1,0,"Carnivore",NA,1,0,NA,0,0,0,5.35,1,14600,4.5,841671,5,754.411560491437,"Dry Temperate Forest",6,0.881608936894049,1,NA,NA,10
