"","Taxon_ID","Scientific_Name","Scientific_Name_Alt","Genus","Common_Name","Taxa_Group","Conservation_Listing","FFG_Status","Mass_g","home_range_km2","dispersal_km","stratum","stratum_aerial","stratum_arboreal_insessorial","stratum_aquatic","stratum_cryptic","stratum_fossorial","stratum_generalist","stratum_saxicolous","stratum_terrestrial","nesting","nest_burrow","nest_cave","nest_ground","nest_hollows","nest_branch","volant","hibernation_torpor","diet","diet_breadth_n","diet_carnivore","diet_herbivore","diet_invertivore","diet_infloresence","diet_omnivore","diet_granivore","litter_size_n","litters_per_year_n","max_longevity_d","n_offspring_year","biggest_patch_size","n_habitat_patches","patch_isolation","dominant_pyrome","pyrome_breadth","meanben_firefreq","future_fire_impact","fame_lm_slope","fame_cluster","smp_cluster"
"1",12375,"Ctenotus robustus","Ctenotus robustus","Ctenotus","Large Striped Skink","Reptiles","NotListed","NotListed",44.66835922,0.05,0.1,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,6,1,730,6,3960758.25,12,742.973671440351,"1",8,0,NA,0.000284354722646127,1,1
"2",12936,"Ctenotus orientalis","Ctenotus orientalis","Ctenotus","Eastern Striped Skink","Reptiles","NotListed","NotListed",11.22018454,0.05,0.1,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,4,1,1825,4,802254.375,8,856.135639010982,"1",6,1.5,NA,0.00030552490043547,2,2
"3",12386,"Ctenotus taeniolatus","Ctenotus taeniolatus","Ctenotus","Copper-tailed Skink","Reptiles","NotListed","NotListed",14.79108388,0.05,0.1,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,4.6,1,1825,4.6,671955.75,11,619.712206266391,"4",3,1.75,NA,0.000282257043957274,8,3
"4",12374,"Ctenotus regius","Ctenotus regius","Ctenotus","Regal Striped Skink","Reptiles","NotListed","NotListed",11.74897555,0.05,0.1,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,3.5,1,1460,3.5,1251672.75,3,689.134600511372,"14",4,1,NA,NA,4,4
"5",12342,"Ctenotus brachyonyx","Ctenotus brachyonyx","Ctenotus","Murray Striped Skink","Reptiles","NotListed","NotListed",11.7951416366387,0.05,0.1,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,6.6,4,1022,6,1224558,2,677.762431397152,"14",4,1.5,NA,NA,4,4
"6",62933,"Ctenotus taeniatus","Ctenotus taeniatus","Ctenotus","Brooks's Striped Skink","Reptiles","NotListed","NotListed",2.290868,0.02,0.05,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,2,1,1095,8,451443.375,7,735.596445098014,"1",4,1,NA,NA,2,2
"7",12994,"Pseudemoia entrecasteauxii","Pseudemoia entrecasteauxii","Pseudemoia","Southern Grass Skink","Reptiles","NotListed","NotListed",5.370318,0.04,0.05,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Invertivore",NA,0,0,1,0,0,0,5,1,1825,5,1784541.375,15,692.747140916345,"4",4,1.5,NA,0.000141508996993426,3,5
"8",12541,"Pseudemoia spenceri","Pseudemoia spenceri","Pseudemoia","Spencer's Skink","Reptiles","NotListed","NotListed",5.370318,0.03,0.04,NA,"0","1","0",0,"0",0,"1","0",NA,NA,0,0,0,0,0,1,"Invertivore",NA,0,0,1,0,0,0,2.5,1,4672,2.5,3482974.6875,11,710.729196891267,"4",4,0,NA,0.000397035629210552,3,5
"9",12948,"Pseudemoia form cryodoma/pagenstecheri","Pseudemoia cryodoma","Pseudemoia","Grass skink FORM (P.pag/cry)","Reptiles","NotListed","NotListed",4.168694,0.04,0.05,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Invertivore",NA,0,0,1,0,0,0,3.6,1,1460,4,845710.875,3,818.619089386411,"1",4,NA,NA,NA,2,6
"10",62956,"Eulamprus tympanum tympanum","Eulamprus tympanum","Eulamprus","Southern Water Skink","Reptiles","NotListed","NotListed",21.3796209,0.02,0.02,NA,"0","1","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,3.86,1,5475,3.86,4710980.25,20,760.770389585399,"4",5,1,NA,NA,3,7
