"","TAXON_ID","Sci_Name","COMMON_NAME","TaxaGroup","TAXON_TYPE","Extinction_Risk","Sci_Name_Alt","score_mass","score_homerange","score_dispersal","score_habitat_breadth","score_foraging_stratum","score_torpor","score_diet_breadth","score_n_offspring","score_plant_diet","score_inv_diet","sum_vulnerability_score","number_traits","vulnerability_score"
"1",11150,"Cercartetus nanus","Eastern Pygmy-possum","Mammals","Mammals","NotListed","Cercartetus nanus",0.66,0.66,0.66,1,1,0,0,0.33,1,0,5.31,10,0.531
"2",11152,"Cercartetus lepidus","Little Pygmy-possum","Mammals","Mammals","NotListed","Cercartetus lepidus",0.66,NA,1,1,1,0,0,0.66,1,0,5.32,9,0.591111111111111
"3",11265,"Macropus giganteus","Eastern Grey Kangaroo","Mammals","Mammals","NotListed","Macropus giganteus",0.33,0.66,0.33,0,0.66,1,1,0.66,1,0,5.64,10,0.564
"4",11263,"Macropus fuliginosus","Western Grey Kangaroo","Mammals","Mammals","NotListed","Macropus fuliginosus",0.33,0.33,0.33,0,0.66,1,1,0.66,1,0,5.31,10,0.531
"5",11261,"Macropus rufogriseus","Red-necked Wallaby","Mammals","Mammals","NotListed","Macropus rufogriseus",0.33,0.66,0.33,0,0.66,1,1,0.66,1,0,5.64,10,0.564
"6",11275,"Macropus rufus","Red Kangaroo","Mammals","Mammals","NotListed","Macropus rufus",0.33,0.33,0.33,0,0.66,1,1,0.66,1,0,5.31,10,0.531
"7",11379,"Vespadelus vulturnus","Little Forest Bat","Mammals","Bats","NotListed","Vespadelus vulturnus",1,NA,NA,1,0.66,0,1,0.66,0,1,5.32,8,0.665
"8",11378,"Vespadelus regulus","Southern Forest Bat","Mammals","Bats","NotListed","Vespadelus regulus",0.66,NA,NA,1,0.66,0,1,0.66,0,1,4.98,8,0.6225
"9",11381,"Vespadelus darlingtoni","Large Forest Bat","Mammals","Bats","NotListed","Vespadelus darlingtoni",0.66,NA,NA,1,0.66,0,1,0.66,0,1,4.98,8,0.6225
"10",11028,"Antechinus agilis","Agile Antechinus","Mammals","Mammals","NotListed","Antechinus agilis",0.66,NA,0.66,1,0.66,1,1,0.33,0,1,6.31,9,0.701111111111111
